game_id,season,week,start_time,venue,home_team,away_team,home_points,away_points,city,state,latitude,longitude,temperature,precipitation,wind_speed
401540311,2023,1,2023-08-31T23:00:00.000Z,Barker-Lane Stadium,Campbell,William & Mary,24,34,Buies Creek,NC,35.4047689,-78.7424842,24.7,0.0,7.9
401540534,2023,1,2023-08-31T23:00:00.000Z,Paladin Stadium,Furman,Tennessee Tech,45,10,Greenville,SC,34.920192,-82.4370917,26.1,0.0,8.7
401525816,2023,1,2023-08-31T23:00:00.000Z,FBC Mortgage Stadium,UCF,Kent State,56,6,Orlando,FL,28.6079765,-81.1927233,26.7,0.2,4.4
401525461,2023,1,2023-08-31T23:00:00.000Z,Allegacy Federal Credit Union Stadium,Wake Forest,Elon,37,17,Winston-Salem,NC,36.1305507,-80.2545851,24.4,0.0,7.9
401541801,2023,1,2023-08-31T23:00:00.000Z,George P. Miller Stadium,Indiana-Pennsylvania,Ashland,24,17,Indiana,PA,40.6214551,-79.1525349,19.3,0.0,9.5
401541033,2023,1,2023-08-31T23:00:00.000Z,Burke-Tarr Stadium,Carson-Newman College,Virginia University Of Lynchburg,35,3,Jefferson City,TN,36.122311,-83.4923961,24.8,0.0,8.6
401545810,2023,1,2023-08-31T23:00:00.000Z,Chet Anderson Stadium,Bemidji State,Northern State,49,13,Bemidji,MN,47.4785418,-94.8907869,25.8,0.0,21.2
401545751,2023,1,2023-08-31T23:00:00.000Z,QU Stadium,Quincy,Chadron St,34,35,Quincy,IL,39.9356016,-91.4098727,23.8,0.0,9.2
401558399,2023,1,2023-08-31T23:00:00.000Z,Wildcat Field,Louisiana College,East Texas Baptist University,34,14,Pineville,LA,31.3224044,-92.4343035,34.1,0.0,14.0
401545779,2023,1,2023-08-31T23:00:00.000Z,Bishop Schmitt Field,Wheeling,Seton Hill,35,24,Wheeling,WV,40.0639616,-80.7209149,22.9,0.0,8.4
401541751,2023,1,2023-08-31T23:00:00.000Z,Southern Nazarene University Football Stadium,Southern Nazarene,Harding University,20,53,Bethany,OK,35.5186728,-97.6322648,32.5,0.0,12.4
401540775,2023,1,2023-08-31T23:00:00.000Z,Ranger Field,Northwestern Oklahoma State,Arkansas-Monticello,24,49,Alva,OK,36.8030501,-98.6660278,32.1,0.0,16.0
401540728,2023,1,2023-08-31T23:00:00.000Z,Allgood-Bailey Stadium,Missouri S&T,Delta State,20,48,Rolla,MO,37.95037,-91.780444,24.5,0.0,8.9
401541872,2023,1,2023-08-31T23:00:00.000Z,Tiger Stadium (AL),West Alabama,Angelo State,14,38,Livingston,AL,32.5843026,-88.1872474,32.1,0.0,7.9
401541787,2023,1,2023-08-31T23:00:00.000Z,Wilkins Stadium,Southern Arkansas,Southeastern Oklahoma State,34,19,Magnolia,AR,33.2670725,-93.2393341,31.2,0.0,10.6
401541001,2023,1,2023-08-31T23:00:00.000Z,Duvall-Rosier Field,Fairmont State,Bloomsburg,34,30,Fairmont,WV,39.4850848,-80.1425781,20.7,0.0,8.5
401540794,2023,1,2023-08-31T23:00:00.000Z,James S. Malosky Stadium,Minnesota Duluth,Northern Michigan,47,10,Duluth,MN,46.7729322,-92.1251218,22.2,0.0,9.8
401554814,2023,1,2023-08-31T23:00:00.000Z,Coyer Field,Buffalo State,Brockport,6,42,Buffalo,NY,42.8867166,-78.8783922,19.4,0.0,4.1
401532393,2023,1,2023-08-31T23:00:00.000Z,Waldo Stadium,Western Michigan,St. Francis (PA),35,17,Kalamazoo,MI,42.2860064,-85.6007573,21.9,0.0,3.2
401541782,2023,1,2023-08-31T23:00:00.000Z,Milam Stadium,Southwestern Oklahoma State,Ouachita Baptist,14,38,Weatherford,OK,35.5261633,-98.7075744,33.2,0.0,11.7
401545847,2023,1,2023-08-31T23:00:00.000Z,Herb Parker Stadium,Minot State,Southwest Minnesota State,23,28,Minot,ND,48.23251,-101.296273,27.5,0.0,27.7
401550360,2023,1,2023-08-31T23:00:00.000Z,Belhaven Bowl Stadium,Belhaven,Millsaps,47,7,Jackson,MS,32.2990021,-90.1847691,31.7,0.0,8.4
401540323,2023,1,2023-08-31T23:00:00.000Z,Kenneth P. LaValle Stadium,Stony Brook,Delaware,13,37,Stony Brook,NY,40.9188829,-73.1242966,21.9,0.0,12.2
401540299,2023,1,2023-08-31T23:00:00.000Z,Memorial Stadium,Indiana State,Eastern Illinois,0,27,Terre Haute,IN,39.4746858,-87.3669599,23.9,0.0,9.7
401540299,2023,1,2023-08-31T23:00:00.000Z,Memorial Stadium,Indiana State,Eastern Illinois,0,27,Lawrence,KS,38.9629418,-95.2463686,29.3,0.0,12.0
401540299,2023,1,2023-08-31T23:00:00.000Z,Memorial Stadium,Indiana State,Eastern Illinois,0,27,Columbia,MO,38.9358491,-92.3332009,25.9,0.0,8.9
401545842,2023,1,2023-08-31T23:00:00.000Z,Bob Young Field,Sioux Falls,Minnesota State Mankato,26,54,Sioux Falls,SD,43.5488256,-96.7307737,27.6,0.0,30.3
401547175,2023,1,2023-08-31T23:00:00.000Z,War Memorial Stadium (AR),McMurry,Birmingham-Southern,19,20,Little Rock,AR,34.749848,-92.330127,27.8,0.0,12.7
401545869,2023,1,2023-08-31T23:00:00.000Z,Lincoln University Stadium,Lincoln (PA),Clarion,20,30,Lincoln University,PA,39.8065518,-75.92870551247694,23.5,0.0,11.3
401551497,2023,1,2023-08-31T23:05:00.000Z,Eiler-Martin Stadium,East Stroudsburg University,Pace,62,9,East Stroudsburg,PA,40.9995386,-75.1812913,20.2,0.0,12.1
401540451,2023,1,2023-08-31T23:30:00.000Z,Stambaugh Stadium,Youngstown State,Valparaiso,52,10,Youngstown,OH,41.1092964,-80.6501885,20.1,0.0,13.0
401520174,2023,1,2023-08-31T23:30:00.000Z,Pratt & Whitney Stadium,UConn,NC State,14,24,East Hartford,CT,41.7595675,-72.6187728,20.1,0.0,9.5
401549695,2023,1,2023-08-31T23:30:00.000Z,Top Taggart Field,Ferris State,Mercyhurst,54,12,Big Rapids,MI,43.698078,-85.483656,20.9,0.0,5.6
401545819,2023,1,2023-08-31T23:30:00.000Z,Sea Foam Stadium,Concordia University St Paul,Upper Iowa University,43,20,Saint Paul,MN,44.9497487,-93.0931028,25.9,0.0,20.3
401541984,2023,1,2023-09-01T00:00:00.000Z,Carnie Smith Stadium,Pittsburg St,Washburn,34,7,Pittsburg,KS,37.4108841,-94.70496,28.0,0.0,9.8
401550428,2023,1,2023-09-01T00:00:00.000Z,Hunter Stadium,Lindenwood,Wisconsin-Stevens Pt,77,9,Saint Charles,MO,38.7946252,-90.519829,22.8,0.0,5.5
401541928,2023,1,2023-09-01T00:00:00.000Z,Craig Field at Spratt Memorial Stadium,Missouri Western,Central Missouri,38,45,Saint Joseph,MO,39.7686055,-94.8466322,24.2,0.0,12.4
401550414,2023,1,2023-09-01T00:00:00.000Z,Trojan Stadium,Dakota State University,Wisconsin-Lacrosse,6,31,Madison,SD,44.006085,-97.11395,26.1,0.0,24.4
401540463,2023,1,2023-09-01T00:00:00.000Z,Dana J. Dykhouse Stadium,South Dakota State,Western Oregon,45,7,Brookings,SD,44.3210182,-96.7801386,26.0,0.0,25.1
401540745,2023,1,2023-09-01T00:00:00.000Z,Marv Kay Stadium at Campbell Field,Colorado School Of Mines,Grand Valley State University,31,28,Golden,CO,39.7546349,-105.2205809,30.5,0.0,1.8
401541939,2023,1,2023-09-01T00:00:00.000Z,Wantland Stadium,Central Oklahoma,Nebraska-Kearney,24,21,Edmond,OK,35.6571367,-97.4649038,31.0,0.0,10.2
401544875,2023,1,2023-09-01T00:00:00.000Z,Francis G. Welch Stadium,Emporia State University,Lincoln (MO),56,10,Emporia,KS,38.4040054,-96.181623,29.6,0.0,13.8
401520148,2023,1,2023-09-01T00:00:00.000Z,Huntington Bank Stadium,Minnesota,Nebraska,13,10,Minneapolis,MN,44.976525,-93.2245462,24.8,0.0,15.8
401549650,2023,1,2023-09-01T00:00:00.000Z,Strong Stadium,Beloit,Rockford,34,27,Beloit,WI,42.5083272,-89.031784,22.2,0.0,4.8
401531377,2023,1,2023-09-01T00:00:00.000Z,Protective Stadium,UAB,North Carolina A&T,35,6,Birmingham,AL,33.5206824,-86.8024326,25.5,0.0,6.2
401520176,2023,1,2023-09-01T00:00:00.000Z,Rice-Eccles Stadium,Utah,Florida,24,11,Salt Lake City,UT,40.7599724,-111.8488255,31.9,0.0,20.2
401541775,2023,1,2023-09-01T00:00:00.000Z,Crain Family Stadium,Oklahoma Baptist,Arkansas Tech,23,21,Shawnee,OK,35.3272928,-96.9253004,31.3,0.0,9.5
401531337,2023,1,2023-09-01T00:00:00.000Z,Chapman Stadium,Tulsa,Arkansas-Pine Bluff,42,7,Tulsa,OK,36.1489175,-95.9437853,30.2,0.0,10.0
401520165,2023,1,2023-09-01T00:00:00.000Z,Memorial Stadium,Missouri,South Dakota,35,10,Terre Haute,IN,39.4746858,-87.3669599,21.1,0.0,5.5
401520165,2023,1,2023-09-01T00:00:00.000Z,Memorial Stadium,Missouri,South Dakota,35,10,Lawrence,KS,38.9629418,-95.2463686,28.5,0.0,10.6
401520165,2023,1,2023-09-01T00:00:00.000Z,Memorial Stadium,Missouri,South Dakota,35,10,Columbia,MO,38.9358491,-92.3332009,23.0,0.0,7.2
401541923,2023,1,2023-09-01T00:00:00.000Z,Stewart Stadium,Weber State,Central Washington,35,10,Ogden,UT,41.1918741,-111.9401391,30.3,0.0,8.2
